ソンリム	Songnim
アイバク	Aybak
アイバミ	Ivamy
アイヒ	Eich
アイヒシュテット	Eichstatt
アイヒハイム	Eichheim
アイヒベルク	Eichberg
アイヒホルン	Eichhorn
アイヒマン	Eichmann
アイヒュンドルフ	Eichendorff
アイヒワルデ	Eichwalde
アイビ	Ivy
アイビイ	Ivey
アイビミ	Ivimy
アイビン	Eyvind
アイビンス	Ivins
アイフル	Aiful
アイブス	Ives
アイブズ	Ives
アイブル	Eibl
アイプ	Eyb
アイヘンドルフ	Eichendorff
アイヘンバウム	Eichenbaum
アイベシュッツ	Eybeschutz
アイベス	Ives
アイベンシュッツ	Eibenschutz
アイペ	Aipe
アイボリ	Ivory
アイマラ	Aymara
アイミ	Aimi
アイメルス	Eimers
アイメルト	Eimert
アイモイデン	IJmuiden
アイモジン	Imogene
アイヤル	Iyer
アイラ	Ira
アイリ	Airi
アイリス	Iris
アイリッシュ	Irish
アイリフ	Iliffe
アイリン	Airin
アイリング	Eyring
アイルズ	Eyles
アイルトン	Ayrton
アイルランド	Ireland
アイレム	Irem
アイレンブルク	Eilenburg
アイレンベルク	Eilemberg
アイロロ	Airolo
アイワルク	Ayvahk
アイン	Ain
アインシュタイン	Einstein
アインスタイン	Einstein
アインタブ	Aintab
アインチヒ	Einzig
アインデ	Ayinde
アインベック	Einbeck
アインホルン	Einhorn
アウ	Au
アウア	Auer
アウエ	Aue
アウエハント	Ouwehand
アウエルバッハ	Auerbach
アウガスタス	Augustus
アウガルテン	Augarten
アウクスブルク	Augsburg
アウクルスト	Aukrust
アウグスタス	Augustus
アウグスチヌス	Augustinus
アウグスツ	Augustus
アウグスツス	Augustus
アウグスツフ	Augustow
アウグステ	Auguste
アウグステンブルク	Augustenborg
アウグスト	August
アウグストス	Augustus
アウグスブルク	Augsburg
アウシュビッツ	Auschwitz
アウシュビツ	Auschwitz
アウジラ	Aujila
アウス	Aus
アウステルリッツ	Austerlitz
アウストアグデル	Aust-Agder
アウストラシア	Austrasia
アウストロ	Austronesia
アウストロネシア	Austronesia
アウスレッド	Outhred
アウチョ	Outjo
アウト	Oud
アウトカ	Outka
アウトラン	Autlan
アウラ	Aura
アウリス	Aulis
アウル	Owl
アウレリウス	Aurelius
アウレリュウス	Aurelius
アウレン	Aule'n
アウロラ	Aurora
アウワ	Auer
アウワテル	Ouwater
アウンドル	Oundle
アウンモイ	Aunmoi
アウンラ	Aonla
アエタ	Aeta
アエネアス	Aeneis
アエネイアス	Aeneas
アエネイス	Aeneis
アエミリアヌス	Aemilianus
アエミリウス	Aemilius
アエラス	Aeras
アエリアヌス	Aelianus
アエロスパシアル	Aerospatiale
アエン	Aen
アオクラ	Aokura
アオジ	Aoji
アオスタ	Aosta
アオテアロア	Aotearoa
アオリ	Aori
アオルノス	Aornos
アカイア	Achaia
アカエフ	Akayev
アカキウス	Achacius
アカクラ	Akakura
アカシア	Akashia
アカシアス	Acacias
アカヅミ	Akadzumi
アカナ	Akana
アカネ	Akane
アカバ	Al-Aqabah
アカフトラ	Acajutla
アカプルコ	Acapulco
アカラウ	Acarau
アカリ	Akari
アカリグア	Acarigua
アカルナニア	Akarnania
アカロフ	Akerlof
アカン	Hackin
アカンバロ	Acambaro
アガサ	Agatha
アガシ	Agashi
アガシキノ	Agashikino
アガタ	Agata
アガット	Agat
アガデス	Agades
アガデム	Agadem
アガニャ	Agana
アガポフカ	Agapovka
アガメムノン	Agamemmon
アガヤン	Aghayan
アガリ	Agari
アガリト	Agarito
アガルタラ	Agartala
アガルド	Agardh
アガンベギャン	Aganbegyan
アガンベン	Agamben
アキ	Aki
アキエ	Akie
アキコ	Akiko
アキタニア	Aquitaine
アキダウアナ	Aquidauana
アキノ	Akino
アキノエ	Akinnuoye
アキホ	Akiho
アキャブ	Akyab
アキュラ	Acura
アキラ	Akira
アキレ	Achille
アキレアス	Achilleas
アキレウス	Achilles
アキレス	Achilles
アキヲ	Akio
アギ	Agi
アギス	Agis
アギナルド	Aguinaldo
アギヨン	Aghion
アギラス	Aguilas
アギラル	Aguilar
アギンスコエ	Aginskoe
アクア	Akua
アクイノ	Aquino
アクイラ	Aquila
アクイレイア	Aquileia
アクエリアス	aquarius
アクオス	Aquos
アクキウス	Accius
アクサライ	Aksaray
アクシズ	Axis
アクシム	Axim
アクシャ	Aksha
アクシャク	Akshak
アクス	Aksu
アクストン	Axton
アクスネス	Aksnes
アクスブリッジ	Uxbridge
アクスム	Aksum
アクセル	Axel
アクセルロッド	Axelrod
アクゾ	Akzo
アクタン	Aktan
アクテオン	actaeon
アクトン	Acton
アクヌル	Aknur
アクネス	Acnes
アクバル	Akbar
アクバロフ	Akbarov
アクヒサル	Akhisar
アクプラ	Aqupla
アクモリンスク	Akmolinsk
アクラ	Accra
アクライ	Akrai
アクラガス	Agrigentum
アクラビク	Aklavik
アクランド	Ackland
アクリントン	Accrington
アクレ	Akure
アクロイド	Ackroyd
アクロン	Akron
アグ	Agu
アグアイ	Aguai
アグアダス	Aguadas
アグダム	Agdam
アグド	Agde
アグネス	Agnes
アグバエ	Agbaje
アグラ	Agra
アグラム	Agram
アグリコラ	Agricola
アグリッパ	Agrippa
アグリニオン	Agrinion
アグリパイ	Aglipay
アグロナチュラ	Agronatura
アグロン	Agron
アケチ	Aketi
アケミ	Akemi
アケメネス	Achaimenes
アケルマン	Akerman
アゲシラオス	Agesilaus
アゲノエル	Haguenauer
アゲハ	Ageha
アゲハント	Agehunt
アゲラル	Aguellal
アコ	Ako
アコスタ	Acosta
アコソンボ	Akosombo
アコム	Acom
アコラ	Akola
アコンカグア	Aconcagua
アゴ	Ago
アゴニスト	Agonist
アゴノイ	Hagonoy
アゴルダト	Agordat
アサ	Asa
アサイ	Athy
アサエ	Asae
アサギ	Asagi
アサコ	Asako
アサナン	Asanan
アサノ	Asano
アサバスカン	Athabaskan
アサヨ	Asayo
アサヱ	Asae
アサンソル	Asansol
アサンテ	Assante
アサンプタ	Assumpta
アザムガル	Azamgarh
アザラップ	Azarappu
アザリア	Azaria
アシアイム	Asheim
アシアナ	Asiana
アシガバット	Ashkhabad
アシス	Assis
アシタカ	Ashitaka
アシナリア	Asinaria
アシニボイア	Assiniboia
アシノ	Asino
アシフ	Asif
アシマ	Ashima
アシモフ	Asimov
アシャン	Ashan
アシュクロフト	Ashcroft
アシュケロン	Ashqelon
アシュタルテ	Astarte
アシュダウン	Ashdown
アシュトレト	Ashtoreth
アシュトン	Ashton
アシュドド	Ashdod
アシュビル	Asheville
アシュマン	Ashmun
アシュランド	Ashland
アシリア	Assyria
アジオ	Ajio
アジソン	Addison
アジマン	Ajman
アジモフ	Asimov
アジャクシオ	Ajaccio
アジャナ	Ajana
アジャン	Agen
アジャンタ	Ajanta
アジュルン	Ajlun
アジルン	Ajlun
アスア	Azua
アスアガ	Azuaga
アスエラ	Azuela
アスカ	Asuka
アスカニウス	Ascanius
アスカム	Ascham
アスカロボ	Askarovo
アスガルド	Asgard
アスキノ	Askino
アスキン	Askin
アスギル	Asgill
アスク	Aske
アスクレピオス	Aesculapius
アスケ	Aske
アスケルスンド	Askersund
アスコット	Ascot
アスコナ	Ascona
アスコリ	Ascoli
アスコレ	Askole
アスタコス	Astakos
アスタナ	Astana
アスタラ	Astara
アスタルト	Astarte
アスツリアス	Asturias
アステア	Astaire
アステカ	Azteca
アステク	Azteca
アステテ	Astete
アステル	Astell
アストライア	Astraea
アストラカン	Astrakhan
アストラッド	Asutoraddo
アストラハン	Astrakhan
アストリア	Astoria
アストリダ	Astrida
アストリッド	Astrid
アストリュック	Astruc
アストル	Astor
アストルガ	Astorga
アストン	Aston
アスナ	Asuna
アスナン	El-Asnam
アスニク	Asnyk
アスビョルンセン	Asbjernsen
アスピナル	Aspinall
アスピン	Aspin
アスプルンド	Asplund
アスプロモンテ	Aspromonte
アスベスト	Asbest
アスペジ	Aspesi
アスペス	Aspel
アスペレン	Asperen
アスペン	Aspen
アスペンドス	Aspendos
アスマラ	Asmara
アスマル	Asmar
アスマン	Assmann
アスミ	Asumi
アスモ	Asmo
アスラハノフ	Aslakhanov
アスラン	Aslan
アスル	Azul
アスワン	Aswan
アスンシオン	Asuncion
アスンション	Asuncion
アズサ	Azusa
アズダ	Asda
アズル	Azrou
アセア	Asea
アセラ	Asela
アセリ	Aseri
アセリオ	Aselli
アセリン	Asselyn
アセンス	Assens
アセンズ	Athens
アセント	Ascent
アゼチ	Azechi
アゼツ	Azetsu
アゼルバイジャン	Azerbaijan
アソゲス	Azogues
アソサ	Asosa
アソリン	Azorin
アタクパメ	Atakpame
アタコ	Ataco
アタスカデロ	Atascadero
アタテュルク	Ataturk
アタナシウス	Athanasius
アタナソフ	Atanasoff
アタランテ	Atalanta
アタリ	Atari
アタル	Attal
アタルバ	Atharva
アダナ	Adana
アダパザル	Adapazari
アダプテック	Adaptec
アダマワ	Adamawa
アダミック	Adamic
アダム	Adam
アダムス	Adams
アダムズ	Adams
アダムソン	Adamson
アダメッツ	Adamec
アダモフ	Adamov
アダラマ	Adarama
アダリア	Adalia
アダルベルト	Adalberto
アダルベロン	Adalberon
アダレイ	Adarei
アダンソン	Adanson
アダンヤデット	Adulyadej
アチソン	Atchison
アチバイア	Atibaia
アチモナン	Atimonan
アチャカチ	Achacachi
アチャコ	Achako
アチレアレ	Acireale
アチンスク	Achinsk
アッカド	Akkad
アッキウス	Accius
アックイ	Acqui
アックム	Accum
アックランド	Ackland
アッコ	Acre
アッコン	Akko
アッサブ	Assab
アッサム	Assam
アッサン	Assan
アッシジ	Assisi
アッシュ	Asch
アッシュクロフト	Ashcroft
アッシリア	Assyria
アッシリヤ	Assyria
アッセル	Asser
アッセルトン	Usselton
アッセン	Assen
アッソス	Assos
アッタス	Attas
アッタバック	Utterback
アッチカ	Attica
アッチソン	Atchison
アッチラ	Attila
アッツ	Attu
アッテルボム	Atterbom
アッハ	Ach
アッバス	Abbas
アッピア	Appia
アッピンガム	Uppingham
アッフル	Affre
アップジョン	Upjohn
アップダイク	Updike
アップダグラフ	Updegraff
アップマン	Uppman
アップランド	Upland
アップル	Apple
アップルガス	Applegath
アップルゲイト	Applegate
アップルトン	Appleton
アッヘンバッハ	Achenbach
アッベ	Abbe
アッペルヒュルゼン	Appelhulsen
アツ	Atsu
アツイ	Atoui
アツコ	Atsuko
アツトリ	Atsutori
アツノ	Atsuno
アツヒト	Atsuhito
アツミ	Atsumi
アテカ	Ateka
アテナ	Atena
アテナイ	Athenai
アテナゴラス	Athenagoras
アテニア	Attenir
アテネ	Athinai
アテノドロス	Athenodoros
アテロ	Atero
アデ	Ade
アデア	Adair
アデホビル	Adefovir
アデマル	Adhemar
アデランス	Aderans
アデリアン	Aderian
アデルスタイン	Adelstein
アデレイド	Adelaide
アデン	Aden
アトウッド	Atwood
アトカルスク	Atkarsk
アトキソン	Atkinson
アトキンス	Atkins
アトキンズ	Atkins
アトキンソン	Atkinson
アトコシヤラカ	Atokosharaka
アトサヌプリ	Atosanupuri
アトス	Athos
アトッサ	Atossa
アトバサル	Atbasar
アトバラ	Atbara
アトム	Atomu
アトラウリ	Atrauli
アトラス	Atlas
アトランタ	Atlanta
アトランチス	Atlantis
アトリスコ	Atlixco
アトルバロ	Attleboro
アトレウス	Atreus
アトン	Aten
アドキンズ	Adkins
アドコック	Adcock
アドニス	Adonis
アドバンテスト	Advantest
アドビ	Adobe
アドフ	Adoff
アドラ	Adra
アドラノ	Adrano
アドラム	Adullam
アドラル	Adrar
アドリア	Adria
アドリアチック	Adriatic
アドリアチツク	Adriatic
アドリアン	Adrien
アドルノ	Adorno
アドルフ	Adolphe
アドルフソン	Adolphson
アドルマン	Adleman
アドルム	adorm
アドレオン	Adreon
アドロゲ	Adrogue
アドロン	Adlon
アナ	Anah
アナイザ	Anaiza
アナイス	Anais
アナウラフタ	Anawrahta
アナキン	Annakin
アナクサゴラス	Anaxagoras
アナクシマンドロス	Anaximandros
アナクシメネス	Anaximenes
アナクレオン	Anacreon
アナコ	Anaco
アナコスチア	Anacostia
アナコンダ	Anaconda
アナザルボス	Anazarbos
アナス	Anders
アナスタシア	Anastasia
アナスタシオス	Anastasius
アナスタシャ	Anastasia
アナスタシヤ	Anastasia
アナスタジア	Anastasia
アナトオル	Anatole
アナトリア	Anatolia
アナトリエ	anatelier
アナトリヤ	Anatolia
アナニアシビリ	Ananiashvili
アナニアス	Ananias
アナニエフ	Anan'ev
アナハイム	Anaheim
アナバ	Annaba
アナベス	Annabeth
アナベラ	Annabella
アナベル	Annabel
アナポリス	Anapolis
アナヤ	Anaya
アナリイ	Analii
アナン	Annan
アナンタ	Ananta
アナンタプル	Anantapur
アナンド	Anand
アニエス	Agnes
アニカ	Anika
アニク	Annik
アニクシチャイ	Anikshchyai
アニシア	Anisia
アニス	Anys
アニストン	Anniston
アニタ	Anita
アニド	Enid
アニナ	Anina
アニマックス	Animax
アニムッチア	Animuccia
アニャツヤ	Anatuya
アニング	Anning
アヌカン	Hannequin
アヌシュ	Annus
アヌパム	Anupam
アヌビス	Anubis
アネイザ	Unayzah
アネショ	Anecho
アネット	Annette
アノリ	Anori
アノン	Hanon
アハシュエロス	Ahasuerus
アハナス	Achnas
アバ	Aba
アバイ	Abai
アバエテツバ	Abaetetuba
アバカリキ	Abakaliki
アバカン	Abakan
アバクビ	Avakubi
アバダン	Abadan
アバデ	Abadeh
アバデア	Aberdare
アバヤ	Abhayo
アバヤギリ	Abhayagiri
アバリス	Avaris
アバリスタニス	Avaris-Tanis
アバル	Avar
アバロン	Avallon
アバン	Abahn
アバンカイ	Abancay
アバンシュ	Avenches
アバンダンド	Abandoned
アパチン	Apatin
アパッチ	Apache
アパム	Upham
アパメア	Apamea
アパライ	Apalai
アパラチア	Appalachia
アパリ	Aparri
アパリシオ	Aparicio
アヒジョ	Ahidjo
アビ	Haby
アビガイル	Abigail
アビゲイル	Abigail
アビシ	Abish
アビシニア	Abyssinia
アビシャグ	Abishag
アビジャン	Abidjan
アビスコ	Abisco
アビタックス	Abitax
アビドス	Abydos
アビニオン	Avignon
アビニョン	Avignon
アビニヨン	Avignon
アビマエル	Abimael
アビメレク	Abimeleck
アビヤド	Abyad
アビュドス	Abydos
アビラ	Avila
アビランド	Haviland
アビリアノ	Avigliano
アビレス	Aviles
アビングドン	Abingdon
アビントン	Abington
アビンドン	Abingdon
アピア	Apia
アピキウス	Apicius
アピセラ	Apicella
アピラントス	Apiranthos
アピンガム	Uppingham
アピントン	Upington
アフオグナク	Afognak
アフガニスタン	Afghanistan
アフガン	Afghan
アフゴイ	Afgoi
アフトポル	Akhtopol
アフマド	Ahmad
アフヨン	Afyon
アフラ	Afula
アフラゴラ	Afragola
アフリカヌス	Africanus
アフレック	Affleck
アブ	Abu
アブイ	Abyi
アブエバ	Abueva
アブクサ	Abuksah
アブコ	Avco
アブサロム	Absalom
アブジ	Abse
アブジャ	Abuja
アブズグ	Abzug
アブソロム	Absolom
アブダラ	Abdullah
アブデュルハミト	Abdulhamid
アブデラ	Abdera
アブデルハルデン	Abderhalden
アブト	Abt
アブドラ	Abdullah
アブドラフマン	Abdurrahman
アブドリノ	Abdulino
アブドル	Abdul
アブネック	Habeneck
アブハジア	Abkhazia
アブハズ	Abkhaz
アブビル	Abbeville
アブラクシン	Apraksin
アブラハム	Abraham
アブラハンソン	Abrahamson
アブラバネル	Abrabanel
アブラム	Abram
アブランシュ	Avranches
アブランテス	Abrantes
アブリ	Ablis
アブリル	Abril
アブル	Abul
アブレ	Havret
アブレイユ	Abreu
アプシャル	Upshall
アプテッド	Apted
アプト	Apt
アプトン	Upton
アプハジア	Abkhazia
アプリア	Apulia
アプリニャ	Apurina
アプリマク	Apurimac
アプリリア	Aprilia
アプリング	Appling
アプル	Apple
アプルビイ	Appleby
アプレイウス	Apuleius
アベ	Havet
アベイロ	Aveiro
アベオクタ	Abeokuta
アベスタ	Avesta
アベック	Abegg
アベナマル	Abenamar
アベベ	Abebe
アベヤネダ	Avellaneda
アベラル	Avelar
アベランスキ	Abelanski
アベリノ	Avellino
アベル	Abel
アベルサ	Aversa
アベロエス	Averroes
アベロン	Aveyron
アベンシス	avensis
アペオス	Apeos
アペル	Appel
アホネン	Ahonen
アボジット	Abauzit
アボット	Abbot
アボニ	Abony
アボプレックス	Avoplex
アボンダン	Abondant
アポストリデス	Apostolides
アポニ	Apponyi
アポマトックス	Appomattox
アポルダ	Apolda
アポルロン	Apollon
アポロ	Apollo
アポロニア	Apollonia
アポロニオス	Apollonius
アポロン	Apollon
アマコスト	Amakosuto
アマシャム	Amersham
アマスヤ	Amasya
アマソス	Amathos
アマゾナス	Amazonas
アマゾニア	Amazonia
アマゾン	Amazon
アマゾンドットコム	Amazon.com
アマックス	Amax
アマデウス	Amadeus
アマド	Amado
アマパ	Amapa
アマパラ	Amapala
アマヤ	Amaya
アマラ	Amarah
アマラオ	Amaral
アマランテ	Amarante
アマリア	Amalia
アマリアス	Amalias
アマリエンブルク	Amalienburg
アマリエンブルグ	Amalienburg
アマリハエ	Amarihae
アマリヤ	Amaliya
アマリロ	Amarillo
アマルテイア	Amaltheia
アマルリック	Amalric
アマン	Ammann
アマンジムトチ	Amanzimtoti
アマンダ	Amanda
アマンダス	Amandus
アマンバイ	Amambay
アミ	Ami
アミアン	Amiens
アミエル	Amiel
アミクライ	Amyklai
アミコ	Amiko
アミソス	Amisos
アミダラ	Amidala
アミナ	Amina
アミノフ	Aminoff
アミヤン	Amiens
アミユン	Amyun
アミヨ	Amyot
アミラン	Amiran
アミリ	Amiri
アム	Ham
アムウエイ	Amway
アムシュテッテン	Amstetten
アムステルダム	Amsterdam
アムタ	Amta
アムッリ	Amurri
アムトラック	Amtrak
アムトレック	Amtrek
アムド	Amdo
アムハラ	Amhara
アムバランゴダ	Ambalangoda
アムブロシウス	Ambrosius
アムラウチ	Amraoti
アムラン	Hamelin
アムリトサル	Amritsar
アムルン	Amulung
アムレクガンジ	Amlekhganj
アムレリ	Amreli
アムンセン	Amundsen
アムンゼン	Amundsen
アメカ	Ameca
アメデ	Amedee
アメデオ	Amedeo
アメリア	Amelia
アメリカ	America
アメリカス	Americus
アメリカソリ	Amerikasori
アメリカナ	Americana
アメリゴ	Amerigo
アメリタ	Amelita
アメリング	Ameling
アメン	Amun
アメンヘテプ	Amenhotep
アメンホテップ	Amenhotep
アメンホテプ	Amenhotep
アモス	Amos
アモナダブ	Aminadab
アモラ	Amora
アモレ	Amore
アモン	Ammon
アモンズ	Ammons
アヤ	Aya
アヤカ	Ayaka
アヤキ	Ayaki
アヤクチョ	Ayacucho
アヤコ	Ayako
アヤタ	Ayata
アヤト	Aiyat
アヤナ	Ayanna
アヤビリ	Ayaviri
アヤマン	Ayaman
アヤメ	Ayame
アヤモンテ	Ayamonte
アヤン	Ayan
アユ	Ayu
アユイ	Hauy
アユカ	Ayuka
アユタヤ	Ayuthaya
アユチヤ	Ayutthaya
アユハ	Ayuha
アユミ	Ayumi
アラ	Ara
アライア	Alaia
アライアンス	Alliance
アライオロス	Arraiolos
アライケ	Araike
アライサ	Araiza
アライダ	Alida
アライハ	Allaikha
アラウ	Arrau
アラウカ	Arauca
アラウシ	Alausi
アラウシオ	Arausio
アラカジュ	Aracaju
アラカチ	Aracati
アラカン	Arakan
アラガン	Allergan
アラキ	Araki
アラキナ	Alakina
アラクルス	Aracruz
アラグアチンス	Araguatins
アラグアリ	Araguari
アラグイタ	Araguita
アラゴアス	Alagoas
アラゴイニャス	Alagoinhas
アラゴン	Aragon
アラサツバ	Aracatuba
アラシャ	Araxa
アラス	Arras
アラスアイ	Aracuai
アラスカ	Alaska
アラセナ	Aracena
アラソン	Allason
アラタス	Alatas
アラダ	Allada
アラチ	Arachi
アラチャム	Alacam
アラップ	Arup
アラツイペ	Aratuipe
アラトリ	Alatri
アラド	Arad
アラナ	Alanna
アラニス	Alanis
アラニャ	Aranha
アラニヤ	Alanya
アラニュ	Arany
アラノ	Arano
アラバ	Alava
アラバマ	Alabama
アラバル	Arrabal
アラパエフスク	Alapaevsk
アラビア	Arabia
アラビヤ	Arabia
アラフエラ	Alajuela
アラフラ	Arafura
アラブキル	Arapkir
アラブサット	Arabsat
アラベルジ	Alaverdi
アラペン	Alopen
アラマ	Alhama
アラマイン	Al-Alamayn
アラマン	Alama'n
アラマンニ	Alamanni
アラミス	Aramis
アラミノス	Alaminos
アラム	Aram
アラムナガル	Alamnagar
アラメイン	Alamein
アラメダ	Alameda
